id,name,type,sub_type,description,image,link,vertical,c_removal,n_removal_nitrification,n_removal_nitrateremoval,p_removal,pathogens_reduction,raw_domestic_wastewater,pretreated_domestic_wastewater,greywater,secondary_treated_wastewater,cso_discharge_water,river_diluted_wastewater,offices_wastewater,camping_wastewater,m2_pe_tropical,m2_pe_dry,m2_pe_temperate,m2_pe_continental,gr_bod_m2_tropical,gr_bod_m2_dry,gr_bod_m2_temperate,gr_bod_m2_continental,es_biodiversity_fauna,es_biodiversity_flora,es_temperature_regulation,es_flood_mitigation,es_cso_mitigation,es_carbon_sequestration,es_biomass_production,es_aesthetic_value,es_recreation,es_pollination,es_food_source,es_water_reuse,es_biosolids,household_building_solutions,energy,inv_es_manpower,inv_es_skills,inv_es_biohazard,factsheet_filenames
HF_GW,Horizontal flow green wall,GW,HF_GW,GW - Green wall with horizontal flow,6_LIVING WALLS for GREYWATER TREATMENT.png,NA,1,1,0,1,0,1,0,0,1,1,0,0,0,0,7.19,7.19,10.79,25.18,8.34,8.34,5.56,2.383285714,2,3,3,0,0,2,1,3,1,3,1,3,0,1,1,3,3,1,NA
HSSF_CW,Horizontal flow treatment wetland,CW,HSSF_CW,CW - Subsurface flow - Horizontal flow,2_HORIZONTAL FLOW_WETLANDS.png,NA,0,1,0,1,0,1,0,1,1,1,0,0,0,0,2,2,3,7,30,30,20,8.571428571,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,1,1,1,12_Horizontal flow wetlands.pdf
HSSF_CW+MP_PL,Horizontal flow treatment wetland + maturation pond,MS,HSSF_CW+MP_PL,Multistage Wastewater Subsurface horizontal CW + Maturation pond,32_HF + MATURATION POND.png,NA,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,2,3,7,30,30,20,8.571428571,2,1,1,0,0,1,2,1,1,0,0,3,1,0,0,1,1,2,19_Multistage wetland.pdf
H_HA,Hydroponic system,HA,H_HA,Hydroponics,30_HYDROPONIC SYSTEM.png,NA,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0.5,0.5,0.5,0.5,120,120,120,120,0,0,0,0,0,2,0,1,0,0,3,3,1,1,1,3,3,1,23_ Hydroponics.pdf
I-SRS,In-stream restoration,I-SRS,I-SRS,Instream retention systems,28_IN-STREAM RESTORATION.png,NA,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0.05,0.05,0.05,0.05,1200,1200,1200,1200,3,3,0,3,0,2,1,3,3,0,2,0,0,0,0,1,2,1,25_In stream restoration.pdf
MP_PL,Maturation pond,PL,MP_PL,Wastewater stabilization ponds/lagoons - Maturation,20_MATURATION POND_.png,NA,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7,7,10,1000000,8.571428571,8.571428571,6,6e-5,2,1,1,0,0,1,0,1,1,0,0,3,1,0,0,1,1,1,06_ Maturation.pdf
NW,Natural wetland,NW,NW,Natural Wetland,23_NATURAL WETLAND_.png,NA,0,1,1,1,1,1,0,0,0,1,0,0,0,0,3,3,6,10,20,20,10,6,3,3,1,3,3,3,3,3,3,2,3,3,0,0,0,1,1,2,17_Natural wetland.pdf
SIS_S,Rapid-rate soil  infiltration system,SIS,SIS_S,Infiltration or soil-based treatment systems - Slow,26_RAPID INFILTRATION LAND TREATMENT.png,NA,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0.5,0.5,0.5,0.5,120,120,120,120,1,1,1,0,1,0,0,1,0,0,0,3,0,1,1,2,2,1,02_Rapid infiltration.pdf
IRM_CW,Reactive media in treatment wetland,CW,IRM_CW,CW - Intensified wetlands - Reactive Media,10_REACTIVE MEDIA_in TREATMENT WETLANDS.png,NA,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,2,10,60,60,30,6,2,1,0,0,0,1,2,1,1,0,0,3,0,1,0,2,2,1,15_Reactive media in treatment wetlands.pdf
R_CW,Reciprocating treatment wetland,CW,R_CW,CW - Intensified wetlands - Recirculation/Tidal,11_RECIPROCATING TREATMENT WETLANDS.png,NA,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1.5,1.5,3,15,40,40,20,4,2,1,0,0,0,1,2,1,1,0,0,3,0,1,1,3,2,2,14_Reciprocating treatment wetlands.pdf
