id,code_cs,type,sub_type,water_type,uws,doc_data,bod_in,tn_in,cod_in,no3_in,nh4_in,tp_in,po43_in,bod_out,tn_out,cod_out,no3_out,nh4_out,tp_out,po43_out,water_temp,air_temp,ecoli_in,ecoli_out,heggs_in,heggs_out,surface,hrt,inflow,population,tn_removal,bod_removal,nh4_removal,po4_removal,timestamp,username,email,company,id_sampling,year_operation
11,PL1930,PL,FP_PL,Pretreated domestic wastewater,NA,"{""authors"":""Mukhtar, M; Ensink, J; Van der Hoek, W; Amerasinghe, FP; Konradsen, F"",""title"":""Importance of waste stabilization ponds and wastewater irrigation in the generation of vector mosquitoes in Pakistan"",""journal"":""JOURNAL OF MEDICAL ENTOMOLOGY"",""year"":""2006"",""volume"":""43"",""issue"":""5"",""startpage"":""996"",""endpage"":""1003"",""doi"":""10.1603/0022-2585(2006)43[996:IOWSPA]2.0.CO;2"",""wos"":""WOS:000240605200032""}",193,NA,NA,NA,31.0607,5.2,NA,149,NA,NA,NA,24.0721,4.6,NA,NA,25,NA,NA,NA,NA,250000,471.795,19076.1,NA,0,839348,103320,11445.7,2021-03-04 12:09:28,NA,NA,NA,NA,2006
12,PL1930,PL,MP_PL,Pretreated domestic wastewater,NA,"{""authors"":""Mukhtar, M; Ensink, J; Van der Hoek, W; Amerasinghe, FP; Konradsen, F"",""title"":""Importance of waste stabilization ponds and wastewater irrigation in the generation of vector mosquitoes in Pakistan"",""journal"":""JOURNAL OF MEDICAL ENTOMOLOGY"",""year"":""2006"",""volume"":""43"",""issue"":""5"",""startpage"":""996"",""endpage"":""1003"",""doi"":""10.1603/0022-2585(2006)43[996:IOWSPA]2.0.CO;2"",""wos"":""WOS:000240605200032""}",149,NA,NA,NA,24.0721,4.6,NA,110,NA,NA,NA,16.3069,4.1,NA,NA,25,NA,NA,NA,NA,125000,235.897,19076.1,NA,0,743967,100346,9538.04,2021-03-04 12:09:28,NA,NA,NA,NA,2006
13,PL1930,PL,AP_PL,Raw domestic wastewater,NA,"{""authors"":""Mukhtar, M; Ensink, J; Van der Hoek, W; Amerasinghe, FP; Konradsen, F"",""title"":""Importance of waste stabilization ponds and wastewater irrigation in the generation of vector mosquitoes in Pakistan"",""journal"":""JOURNAL OF MEDICAL ENTOMOLOGY"",""year"":""2006"",""volume"":""43"",""issue"":""5"",""startpage"":""996"",""endpage"":""1003"",""doi"":""10.1603/0022-2585(2006)43[996:IOWSPA]2.0.CO;2"",""wos"":""WOS:000240605200032""}",300,NA,NA,NA,NA,40,NA,193,NA,NA,NA,31.0607,5.2,NA,NA,25,NA,NA,NA,NA,90000,396.308,19076.1,NA,0,2041140,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2006
14,PL2040,PL,MP_PL,Pretreated domestic wastewater,NA,"{""authors"":""Ntengwe, FW"",""title"":""The cost benefit and efficiency of waste water treatment using domestic ponds - the ultimate solution in Southern Africa"",""journal"":""PHYSICS AND CHEMISTRY OF THE EARTH"",""year"":""2005"",""volume"":""30"",""issue"":""11 -- 16"",""startpage"":""735"",""endpage"":""743"",""doi"":""10.1016/j.pce.2005.08.015"",""wos"":""WOS:000233067200016""}",76,NA,NA,0.0338845,NA,NA,NA,48,NA,NA,0.0225897,NA,NA,4.24144,21,20.4,NA,NA,NA,NA,8969.54,NA,6036,50300,0,169008,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2005
15,PL2040,PL,FP_PL,Raw domestic wastewater,NA,"{""authors"":""Ntengwe, FW"",""title"":""The cost benefit and efficiency of waste water treatment using domestic ponds - the ultimate solution in Southern Africa"",""journal"":""PHYSICS AND CHEMISTRY OF THE EARTH"",""year"":""2005"",""volume"":""30"",""issue"":""11 -- 16"",""startpage"":""735"",""endpage"":""743"",""doi"":""10.1016/j.pce.2005.08.015"",""wos"":""WOS:000233067200016""}",382,NA,NA,0.0903587,NA,NA,NA,173,NA,NA,0.0790639,NA,NA,NA,23,20.4,NA,NA,NA,NA,12382,NA,6036,50300,0,1261520,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2005
16,PL2040,PL,MP_PL,Pretreated domestic wastewater,NA,"{""authors"":""Ntengwe, FW"",""title"":""The cost benefit and efficiency of waste water treatment using domestic ponds - the ultimate solution in Southern Africa"",""journal"":""PHYSICS AND CHEMISTRY OF THE EARTH"",""year"":""2005"",""volume"":""30"",""issue"":""11 -- 16"",""startpage"":""735"",""endpage"":""743"",""doi"":""10.1016/j.pce.2005.08.015"",""wos"":""WOS:000233067200016""}",121,NA,NA,0.067769,NA,NA,NA,76,NA,NA,0.0338845,NA,NA,NA,22,20.4,NA,NA,NA,NA,7866.04,NA,6036,50300,0,271620,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2005
17,PL2040,PL,MP_PL,Pretreated domestic wastewater,NA,"{""authors"":""Ntengwe, FW"",""title"":""The cost benefit and efficiency of waste water treatment using domestic ponds - the ultimate solution in Southern Africa"",""journal"":""PHYSICS AND CHEMISTRY OF THE EARTH"",""year"":""2005"",""volume"":""30"",""issue"":""11 -- 16"",""startpage"":""735"",""endpage"":""743"",""doi"":""10.1016/j.pce.2005.08.015"",""wos"":""WOS:000233067200016""}",173,NA,NA,0.0790639,NA,NA,NA,121,NA,NA,0.067769,NA,NA,NA,22,20.4,NA,NA,NA,NA,13221.7,NA,6036,50300,0,313872,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2005
18,PL2040,MS,FP+MP_PL,Raw domestic wastewater,NA,"{""authors"":""Ntengwe, FW"",""title"":""The cost benefit and efficiency of waste water treatment using domestic ponds - the ultimate solution in Southern Africa"",""journal"":""PHYSICS AND CHEMISTRY OF THE EARTH"",""year"":""2005"",""volume"":""30"",""issue"":""11 -- 16"",""startpage"":""735"",""endpage"":""743"",""doi"":""10.1016/j.pce.2005.08.015"",""wos"":""WOS:000233067200016""}",382,NA,NA,0.0903587,NA,NA,NA,48,NA,NA,0.0225897,NA,NA,4.24144,22.1667,20.4,NA,NA,NA,NA,42439.3,NA,6036,50300,0,2016020,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2005
19,PL2049 uni,PL,MP_PL,Secondary treated wastewater,NA,"{""authors"":""von Sperling, M; Mascarenhas, LCAM"",""title"":""Performance of very shallow ponds treating effluents from UASB reactors"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2005"",""volume"":""51"",""issue"":""12"",""startpage"":""83"",""endpage"":""90"",""doi"":""undefined"",""wos"":""WOS:000231334500012""}",53,27.87,129,0.27,23.9,1.86,NA,28,16.48,122,0.18,13.5,1.93,NA,25.755,21.1,94000000,240000,NA,NA,131.25,148.8,20,NA,227.8,500,117.49,-1.4,2021-03-04 12:09:28,NA,NA,NA,NA,2005
20,PL2049 uni,PL,MP_PL,Secondary treated wastewater,NA,"{""authors"":""von Sperling, M; Mascarenhas, LCAM"",""title"":""Performance of very shallow ponds treating effluents from UASB reactors"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2005"",""volume"":""51"",""issue"":""12"",""startpage"":""83"",""endpage"":""90"",""doi"":""undefined"",""wos"":""WOS:000231334500012""}",53,27.87,129,0.27,23.9,1.86,NA,29,15.02,130,0.22,12.3,1.91,NA,25.25,21.1,94000000,140000,NA,NA,131.25,69.6,20,NA,257,480,119.397,-1,2021-03-04 12:09:28,NA,NA,NA,NA,2005
21,PL2630,PL,FP_PL,Raw domestic wastewater,NA,"{""authors"":""OUAZZANI, N; BOUHOUM, K; MANDI, L; BOUARAB, L; HABBARI, K; RAFIQ, F; PICOT, B; BONTOUX, J; SCHWARTZBROD, J"",""title"":""WASTE-WATER TREATMENT BY STABILIZATION POND - MARRAKESH EXPERIMENT"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""1995"",""volume"":""31"",""issue"":""12"",""startpage"":""75"",""endpage"":""80"",""doi"":""10.1016/0273-1223(95)00494-8"",""wos"":""WOS:A1995TG76900009""}",NA,40,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,21.5,NA,NA,11.7,NA,4000,1200,125,NA,3250,0,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,1995
22,PL2630,PL,AP_PL,Raw domestic wastewater,NA,"{""authors"":""OUAZZANI, N; BOUHOUM, K; MANDI, L; BOUARAB, L; HABBARI, K; RAFIQ, F; PICOT, B; BONTOUX, J; SCHWARTZBROD, J"",""title"":""WASTE-WATER TREATMENT BY STABILIZATION POND - MARRAKESH EXPERIMENT"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""1995"",""volume"":""31"",""issue"":""12"",""startpage"":""75"",""endpage"":""80"",""doi"":""10.1016/0273-1223(95)00494-8"",""wos"":""WOS:A1995TG76900009""}",300,40,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,21.5,NA,NA,4,0.42,387,9.6,864,NA,10368,0,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,1995
23,PL2641,PL,MP_PL,Pretreated domestic wastewater,NA,"{""authors"":""BANSAH, K; SUGLO, S"",""title"":""Sewage Treatment by Waste Stabilization Pond Systems"",""journal"":""JOURNAL OF ENERGY AND NATURAL RESOURCE MANAGEMENT"",""year"":""2016"",""volume"":""3"",""issue"":""1"",""startpage"":""7"",""endpage"":""14"",""doi"":""10.26796/jenrm.v3i1.52"",""wos"":""undefined""}",15.1,NA,NA,0.374989,NA,NA,NA,7.6,NA,NA,0.0903587,NA,NA,NA,NA,28,130,30,NA,NA,1816,2.69211,20236.9,NA,0,151777,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2016
24,PL2641,PL,MP_PL,Pretreated domestic wastewater,NA,"{""authors"":""BANSAH, K; SUGLO, S"",""title"":""Sewage Treatment by Waste Stabilization Pond Systems"",""journal"":""JOURNAL OF ENERGY AND NATURAL RESOURCE MANAGEMENT"",""year"":""2016"",""volume"":""3"",""issue"":""1"",""startpage"":""7"",""endpage"":""14"",""doi"":""10.26796/jenrm.v3i1.52"",""wos"":""undefined""}",45.7,NA,NA,1.1724,NA,NA,NA,15.1,NA,NA,0.374989,NA,NA,NA,NA,28,300,130,NA,NA,1261,1.86936,20236.9,NA,0,619250,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2016
25,PL2641,MS,AP+FP+MP_PL,Raw domestic wastewater,NA,"{""authors"":""BANSAH, K; SUGLO, S"",""title"":""Sewage Treatment by Waste Stabilization Pond Systems"",""journal"":""JOURNAL OF ENERGY AND NATURAL RESOURCE MANAGEMENT"",""year"":""2016"",""volume"":""3"",""issue"":""1"",""startpage"":""7"",""endpage"":""14"",""doi"":""10.26796/jenrm.v3i1.52"",""wos"":""undefined""}",280,NA,NA,0.539893,NA,NA,NA,7.6,NA,NA,0.0903587,NA,NA,NA,NA,28,2980,30,NA,NA,13921,37.3649,20236.9,168641,0,5512540,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2016
26,PL2641,PL,FP_PL,Pretreated domestic wastewater,NA,"{""authors"":""BANSAH, K; SUGLO, S"",""title"":""Sewage Treatment by Waste Stabilization Pond Systems"",""journal"":""JOURNAL OF ENERGY AND NATURAL RESOURCE MANAGEMENT"",""year"":""2016"",""volume"":""3"",""issue"":""1"",""startpage"":""7"",""endpage"":""14"",""doi"":""10.26796/jenrm.v3i1.52"",""wos"":""undefined""}",51.4,NA,NA,0.00451794,NA,NA,NA,45.7,NA,NA,1.1724,NA,NA,NA,NA,28,530,300,NA,NA,2039,3.62723,20236.9,NA,0,115350,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2016
27,PL2641,PL,FP_PL,Pretreated domestic wastewater,NA,"{""authors"":""BANSAH, K; SUGLO, S"",""title"":""Sewage Treatment by Waste Stabilization Pond Systems"",""journal"":""JOURNAL OF ENERGY AND NATURAL RESOURCE MANAGEMENT"",""year"":""2016"",""volume"":""3"",""issue"":""1"",""startpage"":""7"",""endpage"":""14"",""doi"":""10.26796/jenrm.v3i1.52"",""wos"":""undefined""}",73,NA,NA,0.454053,NA,NA,NA,51.4,NA,NA,0.00451794,NA,NA,NA,NA,28,940,530,NA,NA,1878,3.34082,20236.9,NA,0,437117,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2016
28,PL2641,PL,FP_PL,Pretreated domestic wastewater,NA,"{""authors"":""BANSAH, K; SUGLO, S"",""title"":""Sewage Treatment by Waste Stabilization Pond Systems"",""journal"":""JOURNAL OF ENERGY AND NATURAL RESOURCE MANAGEMENT"",""year"":""2016"",""volume"":""3"",""issue"":""1"",""startpage"":""7"",""endpage"":""14"",""doi"":""10.26796/jenrm.v3i1.52"",""wos"":""undefined""}",103,NA,NA,0.469865,NA,NA,NA,73,NA,NA,0.454053,NA,NA,NA,NA,28,2550,940,NA,NA,3129,5.56626,20236.9,NA,0,607108,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2016
29,PL2641,PL,AP_PL,Raw domestic wastewater,NA,"{""authors"":""BANSAH, K; SUGLO, S"",""title"":""Sewage Treatment by Waste Stabilization Pond Systems"",""journal"":""JOURNAL OF ENERGY AND NATURAL RESOURCE MANAGEMENT"",""year"":""2016"",""volume"":""3"",""issue"":""1"",""startpage"":""7"",""endpage"":""14"",""doi"":""10.26796/jenrm.v3i1.52"",""wos"":""undefined""}",280,NA,NA,0.539893,NA,NA,NA,103,NA,NA,0.469865,NA,NA,NA,NA,28,2980,2550,NA,NA,3798,20.2691,20236.9,NA,0,3581930,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,2016
30,PL2704,MS,AP+FP_PL,Raw domestic wastewater,NA,"{""authors"":""PATIL, HS; METI, GM; HOSETTI, BB"",""title"":""BIOLOGY OF MULTICELL PONDS TREATING MUNICIPAL WASTES"",""journal"":""INTERNATIONALE REVUE DER GESAMTEN HYDROBIOLOGIE"",""year"":""1993"",""volume"":""78"",""issue"":""2"",""startpage"":""309"",""endpage"":""317"",""doi"":""10.1002/iroh.19930780216"",""wos"":""WOS:A1993LW12500011""}",298.7,NA,NA,NA,24,NA,4.24144,31.67,NA,NA,NA,6.8,NA,1.01142,36.6333,30.25,NA,NA,NA,NA,3327,285.6,669.231,NA,0,178705,3261.38,2161.63,2021-03-04 12:09:28,NA,NA,NA,NA,1993
31,PL2704,PL,FP_PL,Pretreated domestic wastewater,NA,"{""authors"":""PATIL, HS; METI, GM; HOSETTI, BB"",""title"":""BIOLOGY OF MULTICELL PONDS TREATING MUNICIPAL WASTES"",""journal"":""INTERNATIONALE REVUE DER GESAMTEN HYDROBIOLOGIE"",""year"":""1993"",""volume"":""78"",""issue"":""2"",""startpage"":""309"",""endpage"":""317"",""doi"":""10.1002/iroh.19930780216"",""wos"":""WOS:A1993LW12500011""}",87,NA,NA,NA,11.4,NA,1.79445,31.67,NA,NA,NA,6.8,NA,1.01142,35.7,30.25,NA,NA,NA,NA,832,103.2,669.231,NA,0,37028.5,1836.28,524.031,2021-03-04 12:09:28,NA,NA,NA,NA,1993
32,PL2704,PL,FP_PL,Pretreated domestic wastewater,NA,"{""authors"":""PATIL, HS; METI, GM; HOSETTI, BB"",""title"":""BIOLOGY OF MULTICELL PONDS TREATING MUNICIPAL WASTES"",""journal"":""INTERNATIONALE REVUE DER GESAMTEN HYDROBIOLOGIE"",""year"":""1993"",""volume"":""78"",""issue"":""2"",""startpage"":""309"",""endpage"":""317"",""doi"":""10.1002/iroh.19930780216"",""wos"":""WOS:A1993LW12500011""}",149.2,NA,NA,NA,15,NA,3.06688,87,NA,NA,NA,11.4,NA,1.79445,36.7,30.25,NA,NA,NA,NA,1768,120,669.231,NA,0,41626.2,1831.02,851.55,2021-03-04 12:09:28,NA,NA,NA,NA,1993
33,PL2704,PL,AP_PL,Raw domestic wastewater,NA,"{""authors"":""PATIL, HS; METI, GM; HOSETTI, BB"",""title"":""BIOLOGY OF MULTICELL PONDS TREATING MUNICIPAL WASTES"",""journal"":""INTERNATIONALE REVUE DER GESAMTEN HYDROBIOLOGIE"",""year"":""1993"",""volume"":""78"",""issue"":""2"",""startpage"":""309"",""endpage"":""317"",""doi"":""10.1002/iroh.19930780216"",""wos"":""WOS:A1993LW12500011""}",298.7,NA,NA,NA,24,NA,4.24144,149.2,NA,NA,NA,15,NA,3.06688,37.5,30.25,NA,NA,NA,NA,727,62.4,669.231,NA,0,100050,3764.42,786.046,2021-03-04 12:09:28,NA,NA,NA,NA,1993
34,PL2706,PL,IA_PL,Raw domestic wastewater,NA,"{""authors"":""ZACHRITZ, WH; FULLER, JW"",""title"":""PERFORMANCE OF AN ARTIFICIAL WETLANDS FILTER TREATING FACULTATIVE LAGOON EFFLUENT AT CARVILLE, LOUISIANA"",""journal"":""WATER ENVIRONMENT RESEARCH"",""year"":""1993"",""volume"":""65"",""issue"":""1"",""startpage"":""46"",""endpage"":""52"",""doi"":""10.2175/WER.65.1.6"",""wos"":""WOS:A1993KM08900006""}",110.6,NA,NA,NA,NA,NA,NA,19.1,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA,7000,459.676,568,500,0,51972,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,1993
35,PL2706,PL,FP_PL,Pretreated domestic wastewater,NA,"{""authors"":""ZACHRITZ, WH; FULLER, JW"",""title"":""PERFORMANCE OF AN ARTIFICIAL WETLANDS FILTER TREATING FACULTATIVE LAGOON EFFLUENT AT CARVILLE, LOUISIANA"",""journal"":""WATER ENVIRONMENT RESEARCH"",""year"":""1993"",""volume"":""65"",""issue"":""1"",""startpage"":""46"",""endpage"":""52"",""doi"":""10.2175/WER.65.1.6"",""wos"":""WOS:A1993KM08900006""}",16.2,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA,2400,156.972,568,500,0,NA,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,1993
36,PL2706,PL,FP_PL,Pretreated domestic wastewater,NA,"{""authors"":""ZACHRITZ, WH; FULLER, JW"",""title"":""PERFORMANCE OF AN ARTIFICIAL WETLANDS FILTER TREATING FACULTATIVE LAGOON EFFLUENT AT CARVILLE, LOUISIANA"",""journal"":""WATER ENVIRONMENT RESEARCH"",""year"":""1993"",""volume"":""65"",""issue"":""1"",""startpage"":""46"",""endpage"":""52"",""doi"":""10.2175/WER.65.1.6"",""wos"":""WOS:A1993KM08900006""}",19.1,NA,NA,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA,1600,104.662,568,500,0,1647.2,0,0,2021-03-04 12:09:28,NA,NA,NA,NA,1993
37,PL361 Bod,PL,MP_PL,Pretreated domestic wastewater,WWTP,"{""authors"":""Glaz, P; Bartosiewicz, M; Laurion, I; Reichwaldt, ES; Maranger, R; Ghadouani, A"",""title"":""Greenhouse gas emissions from waste stabilisation ponds in Western Australia and Quebec (Canada)"",""journal"":""WATER RESEARCH"",""year"":""2016"",""volume"":""101"",""issue"":""undefined"",""startpage"":""64"",""endpage"":""74"",""doi"":""10.1016/j.watres.2016.05.060"",""wos"":""WOS:000381169400008""}",28.0112,21.7755,NA,NA,NA,8.14917,NA,20,13,NA,NA,NA,5.9,NA,NA,19.1,NA,31,NA,NA,1232.5,257.217,184,NA,1614.7,1474.06,0,413.848,2021-03-04 12:09:28,NA,NA,NA,NA,2016
38,PL361 Bod,PL,MP_PL,Pretreated domestic wastewater,WWTP,"{""authors"":""Glaz, P; Bartosiewicz, M; Laurion, I; Reichwaldt, ES; Maranger, R; Ghadouani, A"",""title"":""Greenhouse gas emissions from waste stabilisation ponds in Western Australia and Quebec (Canada)"",""journal"":""WATER RESEARCH"",""year"":""2016"",""volume"":""101"",""issue"":""undefined"",""startpage"":""64"",""endpage"":""74"",""doi"":""10.1016/j.watres.2016.05.060"",""wos"":""WOS:000381169400008""}",58.3567,48.6061,NA,NA,NA,9.52006,NA,28.0112,21.7755,NA,NA,NA,8.14917,NA,NA,19.1,1300,NA,NA,NA,1315,274.435,184,NA,4936.83,5583.57,0,252.243,2021-03-04 12:09:28,NA,NA,NA,NA,2016
