id,code_cs,type,sub_type,water_type,uws,doc_data,bod_in,tn_in,cod_in,no3_in,nh4_in,tp_in,po43_in,bod_out,tn_out,cod_out,no3_out,nh4_out,tp_out,po43_out,water_temp,air_temp,ecoli_in,ecoli_out,heggs_in,heggs_out,surface,hrt,inflow,population,tn_removal,bod_removal,nh4_removal,po4_removal,timestamp,username,email,company,id_sampling,year_operation
76,CW1185e wet T,CW,HSSF_CW,Pretreated domestic wastewater,Household,"{""authors"":""Katsenovich, YP; Hummel-Batista, A; Ravinet, AJ; Miller, JF"",""title"":""Performance evaluation of constructed wetlands in a tropical region"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2009"",""volume"":""35"",""issue"":""10"",""startpage"":""1529"",""endpage"":""1537"",""doi"":""10.1016/j.ecoleng.2009.07.003"",""wos"":""WOS:000270645400019""}",52.1453,20.2118,174.279,NA,NA,NA,1.82,33.3,13.17,106.31,NA,NA,NA,2.92,NA,25.355,NA,NA,NA,NA,133.225,NA,50.4667,420.556,355.375,951.06,0,-55.5133,2021-03-04 12:09:28,NA,NA,NA,NA,2009
77,CW1185e wet Th,CW,FWS_CW,Pretreated domestic wastewater,Household,"{""authors"":""Katsenovich, YP; Hummel-Batista, A; Ravinet, AJ; Miller, JF"",""title"":""Performance evaluation of constructed wetlands in a tropical region"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2009"",""volume"":""35"",""issue"":""10"",""startpage"":""1529"",""endpage"":""1537"",""doi"":""10.1016/j.ecoleng.2009.07.003"",""wos"":""WOS:000270645400019""}",30.4592,16.2614,95.219,NA,9.7561,NA,2.71186,21.69,4.28,68.91,NA,1.04,NA,1.44,NA,25.355,NA,NA,NA,NA,733.35,NA,50.4667,420.556,NA,442.553,NA,NA,2021-03-04 12:09:28,NA,NA,NA,NA,2009
78,CW1185f wet B,CW,HSSF_CW,Pretreated domestic wastewater,Household,"{""authors"":""Katsenovich, YP; Hummel-Batista, A; Ravinet, AJ; Miller, JF"",""title"":""Performance evaluation of constructed wetlands in a tropical region"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2009"",""volume"":""35"",""issue"":""10"",""startpage"":""1529"",""endpage"":""1537"",""doi"":""10.1016/j.ecoleng.2009.07.003"",""wos"":""WOS:000270645400019""}",49.8807,20.9195,224.116,NA,NA,NA,1.82,33.46,12.74,73.51,NA,NA,NA,2.91,NA,25.355,NA,NA,NA,NA,133.225,NA,50.4667,420.556,412.794,828.7,0,-55.0087,2021-03-04 12:09:28,NA,NA,NA,NA,2009
79,CW1185f wet C,CW,FWS_CW,Pretreated domestic wastewater,Household,"{""authors"":""Katsenovich, YP; Hummel-Batista, A; Ravinet, AJ; Miller, JF"",""title"":""Performance evaluation of constructed wetlands in a tropical region"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2009"",""volume"":""35"",""issue"":""10"",""startpage"":""1529"",""endpage"":""1537"",""doi"":""10.1016/j.ecoleng.2009.07.003"",""wos"":""WOS:000270645400019""}",29.9887,15.405,80.5416,NA,7.73354,NA,2.30315,18.5,5.23,59.48,NA,1.01,NA,1.17,NA,25.355,NA,NA,NA,NA,733.35,NA,50.4667,420.556,NA,579.794,NA,NA,2021-03-04 12:09:28,NA,NA,NA,NA,2009
80,CW1194a,CW,HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Vymazal, J"",""title"":""Horizontal sub-surface flow constructed wetlands Ondrejov and Spalene Porici in the Czech Republic-15 years of operation"",""journal"":""DESALINATION"",""year"":""2009"",""volume"":""246"",""issue"":""1 -- 3"",""startpage"":""226"",""endpage"":""237"",""doi"":""10.1016/j.desal.2008.02.042"",""wos"":""WOS:000270634100023""}",157,50,344,2.3,31.8,10.1,NA,18.3,29.7,53,0.58,24.2,7,NA,NA,7.025,NA,NA,NA,NA,806,NA,56.3,362,1142.89,7808.81,325.619,174.53,2021-03-04 12:09:28,NA,NA,NA,NA,2009
81,CW1224a,CW,HSSF_CW,Pretreated domestic wastewater,Household,"{""authors"":""Singh, S; Haberl, R; Moog, O; Shrestha, RR; Shresthad, P; Shrestha, R"",""title"":""Performance of an anaerobic baffled reactor and hybrid constructed wetland treating high-strength wastewater in Nepal-A model for DEWATS"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2009"",""volume"":""35"",""issue"":""5"",""startpage"":""654"",""endpage"":""660"",""doi"":""10.1016/j.ecoleng.2008.10.019"",""wos"":""WOS:000266138700004""}",774.2,NA,1421.9,NA,209.3,28.4,NA,292.5,NA,647.3,NA,150.2,18.5,NA,NA,17.8,NA,NA,NA,NA,150,5.2,10,400,NA,4451.65,357.476,99,2021-03-04 12:09:28,NA,NA,NA,NA,2009
82,CW1224b,CW,VSSF_CW,Pretreated domestic wastewater,Household,"{""authors"":""Singh, S; Haberl, R; Moog, O; Shrestha, RR; Shresthad, P; Shrestha, R"",""title"":""Performance of an anaerobic baffled reactor and hybrid constructed wetland treating high-strength wastewater in Nepal-A model for DEWATS"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2009"",""volume"":""35"",""issue"":""5"",""startpage"":""654"",""endpage"":""660"",""doi"":""10.1016/j.ecoleng.2008.10.019"",""wos"":""WOS:000266138700004""}",293,NA,647,NA,150,19,NA,173,NA,319,NA,45,17,NA,NA,18.3,NA,NA,NA,NA,75,NA,10,83.3333,0,1200,315,20,2021-03-04 12:09:28,NA,NA,NA,NA,2009
83,CW1261,CW,HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Albuzio, A; Lubian, C; Parolin, R; Balsamo, R; Camerin, I; Valerio, P"",""title"":""Wastewater from a mountain village treated with a constructed wetland"",""journal"":""DESALINATION AND WATER TREATMENT"",""year"":""2009"",""volume"":""1"",""issue"":""1 -- 3"",""startpage"":""232"",""endpage"":""236"",""doi"":""10.5004/dwt.2009.129"",""wos"":""WOS:000266585000026""}",92,NA,161,NA,51.2,3.3,NA,29,NA,53,NA,23.1,1.3,NA,NA,11.5,431200,43050,NA,NA,108,108,5,40,NA,315,63.3896,10,2021-03-04 12:09:28,NA,NA,NA,NA,2009
84,CW127a,CW,VSSF_CW,Raw domestic wastewater,WWTP,"{""authors"":""Morvannou, A; Troesch, S; Esser, D; Forquet, N; Petitjean, A; Molle, P"",""title"":""Using one filter stage of unsaturated/saturated vertical flow filters for nitrogen removal and footprint reduction of constructed wetlands"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2017"",""volume"":""76"",""issue"":""1"",""startpage"":""124"",""endpage"":""133"",""doi"":""10.2166/wst.2017.115"",""wos"":""WOS:000405591400013""}",367,82,728,0.4,62,NA,NA,21,38,81,2,33,NA,NA,NA,13.3333,NA,NA,NA,NA,1560,26.4,312,1200,13559.5,107634,4839.12,0,2021-03-04 12:09:28,NA,NA,NA,NA,2017
85,CW127b,CW,R_CW,Raw domestic wastewater,WWTP,"{""authors"":""Morvannou, A; Troesch, S; Esser, D; Forquet, N; Petitjean, A; Molle, P"",""title"":""Using one filter stage of unsaturated/saturated vertical flow filters for nitrogen removal and footprint reduction of constructed wetlands"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2017"",""volume"":""76"",""issue"":""1"",""startpage"":""124"",""endpage"":""133"",""doi"":""10.2166/wst.2017.115"",""wos"":""WOS:000405591400013""}",425,92,862,0.3,68,NA,NA,13,36,77,4,29,NA,NA,NA,13.3333,NA,NA,NA,NA,1644,55.2,493.2,900,27224.6,203322,8295.62,0,2021-03-04 12:09:28,NA,NA,NA,NA,2017
86,CW127c,CW,R_CW,Raw domestic wastewater,WWTP,"{""authors"":""Morvannou, A; Troesch, S; Esser, D; Forquet, N; Petitjean, A; Molle, P"",""title"":""Using one filter stage of unsaturated/saturated vertical flow filters for nitrogen removal and footprint reduction of constructed wetlands"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2017"",""volume"":""76"",""issue"":""1"",""startpage"":""124"",""endpage"":""133"",""doi"":""10.2166/wst.2017.115"",""wos"":""WOS:000405591400013""}",407,112,938,0.3,83,NA,NA,14,35,94,14,16,NA,NA,NA,2,NA,NA,NA,NA,1644,62.4,493.2,900,38114.5,196718,6312.96,0,2021-03-04 12:09:28,NA,NA,NA,NA,2017
87,CW127d,CW,VSSF_CW,Raw domestic wastewater,WWTP,"{""authors"":""Morvannou, A; Troesch, S; Esser, D; Forquet, N; Petitjean, A; Molle, P"",""title"":""Using one filter stage of unsaturated/saturated vertical flow filters for nitrogen removal and footprint reduction of constructed wetlands"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2017"",""volume"":""76"",""issue"":""1"",""startpage"":""124"",""endpage"":""133"",""doi"":""10.2166/wst.2017.115"",""wos"":""WOS:000405591400013""}",193,60,538,0.5,43,NA,NA,3,31,22,27,3,NA,NA,NA,2,NA,NA,NA,NA,5670,28.8,1134,2700,22453.2,214485,3095.82,0,2021-03-04 12:09:28,NA,NA,NA,NA,2017
88,CW127e,CW,VSSF_CW,Raw domestic wastewater,WWTP,"{""authors"":""Morvannou, A; Troesch, S; Esser, D; Forquet, N; Petitjean, A; Molle, P"",""title"":""Using one filter stage of unsaturated/saturated vertical flow filters for nitrogen removal and footprint reduction of constructed wetlands"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2017"",""volume"":""76"",""issue"":""1"",""startpage"":""124"",""endpage"":""133"",""doi"":""10.2166/wst.2017.115"",""wos"":""WOS:000405591400013""}",207,83,526,0.5,55,NA,NA,3,19,21,14,5,NA,NA,NA,2,NA,NA,NA,NA,5670,24,1134,2700,63061.7,230043,5103,0,2021-03-04 12:09:28,NA,NA,NA,NA,2017
89,CW127f,CW,R_CW,Raw domestic wastewater,WWTP,"{""authors"":""Morvannou, A; Troesch, S; Esser, D; Forquet, N; Petitjean, A; Molle, P"",""title"":""Using one filter stage of unsaturated/saturated vertical flow filters for nitrogen removal and footprint reduction of constructed wetlands"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2017"",""volume"":""76"",""issue"":""1"",""startpage"":""124"",""endpage"":""133"",""doi"":""10.2166/wst.2017.115"",""wos"":""WOS:000405591400013""}",89,3,246,1.1,22,NA,NA,2.3,21,16,18,1.6,NA,NA,NA,2,NA,NA,NA,NA,5670,4.8,2268,2700,2109.24,195796,3374.78,0,2021-03-04 12:09:28,NA,NA,NA,NA,2017
90,CW127g,CW,R_CW,Raw domestic wastewater,WWTP,"{""authors"":""Morvannou, A; Troesch, S; Esser, D; Forquet, N; Petitjean, A; Molle, P"",""title"":""Using one filter stage of unsaturated/saturated vertical flow filters for nitrogen removal and footprint reduction of constructed wetlands"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2017"",""volume"":""76"",""issue"":""1"",""startpage"":""124"",""endpage"":""133"",""doi"":""10.2166/wst.2017.115"",""wos"":""WOS:000405591400013""}",207,69,471,0.2,54,NA,NA,1.5,30,16,28,2.7,NA,NA,NA,2,NA,NA,NA,NA,5670,7.2,1701,2700,64552.9,348586,4363.06,0,2021-03-04 12:09:28,NA,NA,NA,NA,2017
91,CW127h,CW,R_CW,Raw domestic wastewater,WWTP,"{""authors"":""Morvannou, A; Troesch, S; Esser, D; Forquet, N; Petitjean, A; Molle, P"",""title"":""Using one filter stage of unsaturated/saturated vertical flow filters for nitrogen removal and footprint reduction of constructed wetlands"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2017"",""volume"":""76"",""issue"":""1"",""startpage"":""124"",""endpage"":""133"",""doi"":""10.2166/wst.2017.115"",""wos"":""WOS:000405591400013""}",262,81,628,0.3,61,NA,NA,3.4,32,28,17,14,NA,NA,NA,2,NA,NA,NA,NA,5670,7.2,1701,2700,82668.6,441205,18336.8,0,2021-03-04 12:09:28,NA,NA,NA,NA,2017
92,CW1373a,CW,FWS_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Tsihrintzis, VA; Akratos, CS; Gikas, GD; Karamouz, D; Angelakis, AN"",""title"":""Performance, and cost comparison of a fws and a vsf constructed wetland system"",""journal"":""ENVIRONMENTAL TECHNOLOGY"",""year"":""2007"",""volume"":""28"",""issue"":""6"",""startpage"":""621"",""endpage"":""628"",""doi"":""10.1080/09593332808618820"",""wos"":""WOS:000247827800003""}",39,NA,100,NA,25,9.1,NA,7.7,NA,18,NA,18,6.2,NA,16,17,NA,NA,NA,NA,5500,228,144,1200,NA,4507.2,725.76,417.6,2021-03-04 12:09:28,NA,NA,NA,NA,2007
93,CW1437,CW,VSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Sengorur, B; Ozdemir, S"",""title"":""Performance of a constructed wetland system for the treatment of domestic wastewater"",""journal"":""FRESENIUS ENVIRONMENTAL BULLETIN"",""year"":""2006"",""volume"":""15"",""issue"":""3"",""startpage"":""242"",""endpage"":""244"",""doi"":""undefined"",""wos"":""WOS:000236644300012""}",42.5,NA,131.5,NA,32.5,NA,NA,6.8,NA,31.04,NA,7.3125,NA,NA,NA,8.4,NA,NA,NA,NA,350,NA,45,762,0,1606.5,255.023,0,2021-03-04 12:09:28,NA,NA,NA,NA,2006
94,CW1578a,CW,HSSF_CW,Pretreated domestic wastewater,Household,"{""authors"":""Davison, L; Headley, T; Edmonds, M"",""title"":""On-site domestic wastewater treatment by reed bed in the moist subtropics"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2001"",""volume"":""44"",""issue"":""11 -- 12"",""startpage"":""353"",""endpage"":""360"",""doi"":""10.2166/wst.2001.0851"",""wos"":""WOS:000172844500049""}",116,137,NA,NA,NA,15,NA,13.92,84.94,NA,NA,NA,7.65,NA,NA,17.6,NA,NA,NA,NA,80,218.4,30,250,1561.8,3062.4,0,220.5,2021-03-04 12:09:28,NA,NA,NA,NA,2001
95,CW1578b,CW,HSSF_CW,Pretreated domestic wastewater,Household,"{""authors"":""Davison, L; Headley, T; Edmonds, M"",""title"":""On-site domestic wastewater treatment by reed bed in the moist subtropics"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2001"",""volume"":""44"",""issue"":""11 -- 12"",""startpage"":""353"",""endpage"":""360"",""doi"":""10.2166/wst.2001.0851"",""wos"":""WOS:000172844500049""}",117,187,NA,NA,NA,22,NA,23.4,91.63,NA,NA,NA,12.76,NA,NA,17.6,NA,NA,NA,NA,80,170.4,30,250,2861.1,2808,0,277.2,2021-03-04 12:09:28,NA,NA,NA,NA,2001
96,CW1578c,CW,HSSF_CW,Pretreated domestic wastewater,Household,"{""authors"":""Davison, L; Headley, T; Edmonds, M"",""title"":""On-site domestic wastewater treatment by reed bed in the moist subtropics"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2001"",""volume"":""44"",""issue"":""11 -- 12"",""startpage"":""353"",""endpage"":""360"",""doi"":""10.2166/wst.2001.0851"",""wos"":""WOS:000172844500049""}",264,19,NA,NA,NA,5.1,NA,18.48,6.46,NA,NA,NA,1.53,NA,NA,17.6,NA,NA,NA,NA,8.8,108,1.44,12,18.0576,353.549,0,5.1408,2021-03-04 12:09:28,NA,NA,NA,NA,2001
97,CW1578d,CW,HSSF_CW,Pretreated domestic wastewater,Household,"{""authors"":""Davison, L; Headley, T; Edmonds, M"",""title"":""On-site domestic wastewater treatment by reed bed in the moist subtropics"",""journal"":""WATER SCIENCE AND TECHNOLOGY"",""year"":""2001"",""volume"":""44"",""issue"":""11 -- 12"",""startpage"":""353"",""endpage"":""360"",""doi"":""10.2166/wst.2001.0851"",""wos"":""WOS:000172844500049""}",50,14,NA,NA,NA,5.2,NA,15,6.3,NA,NA,NA,2.6,NA,NA,17.6,NA,NA,NA,NA,3.6,136.8,0.12,1,0.924,4.2,0,0.312,2021-03-04 12:09:28,NA,NA,NA,NA,2001
98,CW1728 ,MS,VSSF+HSSF_CW,Pretreated domestic wastewater,Household,"{""authors"":""Marzec, M; Gizinska-Gorna, M; Jozwiakowski, K; Pytka-Woszczylo, A; Kowalczyk-Jusko, A; Gajewska, M"",""title"":""The efficiency and reliability of pollutant removal in a hybrid constructed wetland with giant miscanthus and Jerusalem artichoke in Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""23"",""endpage"":""35"",""doi"":""10.1016/j.ecoleng.2018.11.008"",""wos"":""WOS:000455632500003""}",537,157,1309,2.87,136,21,NA,6.6,56.4,31.8,20.25,12.9,6.7,NA,NA,7.65,NA,NA,NA,NA,182.583,496.7,1.2,10,120.72,636.48,14.0117,17.16,2021-03-04 12:09:28,NA,NA,NA,NA,2019
99,CW1728a,CW,VSSF_CW,Pretreated domestic wastewater,Household,"{""authors"":""Marzec, M; Gizinska-Gorna, M; Jozwiakowski, K; Pytka-Woszczylo, A; Kowalczyk-Jusko, A; Gajewska, M"",""title"":""The efficiency and reliability of pollutant removal in a hybrid constructed wetland with giant miscanthus and Jerusalem artichoke in Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""23"",""endpage"":""35"",""doi"":""10.1016/j.ecoleng.2018.11.008"",""wos"":""WOS:000455632500003""}",537,157,1309,2.87,136,21,NA,18.2,82.4,68.4,24.48,21.3,12,NA,NA,7.6,NA,NA,NA,NA,96,115.2,1.2,10,89.52,622.56,21.5569,10.8,2021-03-04 12:09:28,NA,NA,NA,NA,2019
100,CW1728b,CW,HSSF_CW,Pretreated domestic wastewater,Household,"{""authors"":""Marzec, M; Gizinska-Gorna, M; Jozwiakowski, K; Pytka-Woszczylo, A; Kowalczyk-Jusko, A; Gajewska, M"",""title"":""The efficiency and reliability of pollutant removal in a hybrid constructed wetland with giant miscanthus and Jerusalem artichoke in Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""23"",""endpage"":""35"",""doi"":""10.1016/j.ecoleng.2018.11.008"",""wos"":""WOS:000455632500003""}",18.2,82.4,68.4,24.48,21.3,12,NA,6.6,56.4,31.8,20.25,12.9,6.7,NA,NA,7.65,NA,NA,NA,NA,80,381.6,1.2,10,31.2,13.92,6.10479,6.36,2021-03-04 12:09:28,NA,NA,NA,NA,2019
101,CW1731 hb,MS,VSSF+HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",169,134,408,NA,NA,39.8,NA,11.1,53,36.9,NA,NA,6.4,NA,NA,7.42,NA,NA,NA,NA,48,614.4,0.6,6,48.5616,94.7076,0,20.04,2021-03-04 12:09:28,NA,NA,NA,NA,2019
102,CW1731a,CW,HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",166,72,337,NA,NA,26.4,NA,22.3,32.9,52.7,NA,NA,7.1,NA,NA,7.65,NA,NA,NA,NA,186,864,1.2,11,46.9152,172.507,0,23.16,2021-03-04 12:09:28,NA,NA,NA,NA,2019
103,CW1731b,CW,HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",313,117,573,NA,NA,34.2,NA,27,34.2,77.1,NA,NA,17.4,NA,NA,7.65,NA,NA,NA,NA,80,2064,0.2,6,16.5672,57.2164,0,3.36,2021-03-04 12:09:28,NA,NA,NA,NA,2019
104,CW1731c,CW,HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",494,193,857,NA,NA,24.4,NA,6.3,11.7,42.9,NA,NA,0.8,NA,NA,7.65,NA,NA,NA,NA,96,696,0.5,7,90.6135,243.789,0,11.8,2021-03-04 12:09:28,NA,NA,NA,NA,2019
105,CW1731d,CW,HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",308,116,619,NA,NA,24.2,NA,23.8,55.7,77.2,NA,NA,9.6,NA,NA,7.73,NA,NA,NA,NA,96,384,0.9,10,54.288,255.856,0,13.14,2021-03-04 12:09:28,NA,NA,NA,NA,2019
106,CW1731e,CW,HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",445,152,784,NA,NA,30.8,NA,38.4,58.1,99.1,NA,NA,7.6,NA,NA,7.65,NA,NA,NA,NA,160,1560,0.5,6,46.968,203.365,0,11.6,2021-03-04 12:09:28,NA,NA,NA,NA,2019
107,CW1731f,CW,HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",167,69.1,323,NA,NA,21.4,NA,27.4,49.5,61.8,NA,NA,9.2,NA,NA,7.78,NA,NA,NA,NA,1287,552,38,380,1299.77,1738.8,0,463.6,2021-03-04 12:09:28,NA,NA,NA,NA,2019
108,CW1731g,CW,HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",525,179,1065,NA,NA,61.3,NA,116,74,300,NA,NA,33.8,NA,NA,7.42,NA,NA,NA,NA,4800,192,29,290,3047.12,11860.3,0,797.5,2021-03-04 12:09:28,NA,NA,NA,NA,2019
109,CW1731i,MS,VSSF+HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",278,82.5,509,NA,NA,29.6,NA,10.8,26,29.1,NA,NA,1.4,NA,NA,6.68,NA,NA,NA,NA,48,552,0.45,4,25.4306,120.221,0,12.69,2021-03-04 12:09:28,NA,NA,NA,NA,2019
110,CW1731j,MS,VSSF+HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",750,194,1588,NA,NA,21.8,NA,9.1,14.8,60.8,NA,NA,11.3,NA,NA,7.65,NA,NA,NA,NA,176,988.8,2.5,25,448.14,1852.5,0,26.25,2021-03-04 12:09:28,NA,NA,NA,NA,2019
111,CW1731m,MS,VSSF+HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",534,121,1195,NA,NA,22.5,NA,4.3,9.6,62,NA,NA,0.4,NA,NA,7.2,NA,NA,NA,NA,48,662.4,0.4,4,44.5764,211.891,0,8.84,2021-03-04 12:09:28,NA,NA,NA,NA,2019
112,CW1731n,MS,VSSF+HSSF_CW,Pretreated domestic wastewater,WWTP,"{""authors"":""Jozwiakowski, K; Marzec, M; Kowalczyk-Jusko, A; Gizinska-Gorna, M; Pytka-Woszczylo, A; Malik, A; Listosz, A; Gajewska, M"",""title"":""25 years of research and experiences about the application of constructed wetlands in southeastern Poland"",""journal"":""ECOLOGICAL ENGINEERING"",""year"":""2019"",""volume"":""127"",""issue"":""undefined"",""startpage"":""440"",""endpage"":""453"",""doi"":""10.1016/j.ecoleng.2018.12.013"",""wos"":""WOS:000455632500045""}",176,83.5,420,NA,NA,21.4,NA,4.3,49,29,NA,NA,0.1,NA,NA,7.2,NA,NA,NA,NA,96,506.4,1,10,34.4855,171.776,0,21.3,2021-03-04 12:09:28,NA,NA,NA,NA,2019
